study,dataset,variable,instrument,question
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0400f","wid1_F2F1_module1","fpr0400f"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0400m","wid1_F2F1_module1","fpr0400m"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0401f","wid1_F2F1_module1","fpr0401f"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0401m","wid1_F2F1_module1","fpr0401m"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0403f","wid1_F2F1_module1","fpr0403f"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0403m","wid1_F2F1_module1","fpr0403m"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0404f","wid1_F2F1_module1","fpr0404f"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0404m","wid1_F2F1_module1","fpr0404m"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0405f","wid1_F2F1_module1","fpr0405f"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0405m","wid1_F2F1_module1","fpr0405m"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0406f","wid1_F2F1_module1","fpr0406f"
"twinlife","ZA6701_person_wid1_v4-0-0","fpr0406m","wid1_F2F1_module1","fpr0406m"
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0100s","wid1_F2F1_module10","bdy0100s"
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0200s","wid1_F2F1_module10","bdy0200s"
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0200t","wid1_F2F1_module10","bdy0200t"
"twinlife","ZA6701_person_wid1_v4-0-0","bdy0200u","wid1_F2F1_module10","bdy0200u"
"twinlife","ZA6701_person_wid1_v4-0-0","com0100s","wid1_F2F1_module10","com0100s"
"twinlife","ZA6701_person_wid1_v4-0-0","com0100t","wid1_F2F1_module10","com0100t"
"twinlife","ZA6701_person_wid1_v4-0-0","com0100u","wid1_F2F1_module10","com0100u"
"twinlife","ZA6701_person_wid1_v4-0-0","com0200s","wid1_F2F1_module10","com0100s"
"twinlife","ZA6701_person_wid1_v4-0-0","com0200t","wid1_F2F1_module10","com0100t"
"twinlife","ZA6701_person_wid1_v4-0-0","com0200u","wid1_F2F1_module10","com0100u"
"twinlife","ZA6701_person_wid1_v4-0-0","com0300s","wid1_F2F1_module10","com0100s"
