study,name,label,label_de,description,description_de
twinlife,gen,generated,,This data set contains a selection of generated variables.,
twinlife,orig,original,,,
twinlife,orig_cleaned,original (cleaned),,This data set contains all survey data and and a selection of generated variables. Survey information on incorrectly answered questions (errors of commission) have been deleted and replaced by a missing code.,
twinlife,orig_uncleaned,original (not cleaned),,This data set contains survey data of constructs that were collected by means of a PAPI questionnaire using filter instructions.  Potential incorrectly answered questions (errors of commission) have not been corrected.,
twinlife,gross,gross,,,
